name,price
正版 Python深度学习 deep learning深度学习 python人工智能机器学习经典教程,78.00
Python量化交易：策略、技巧与实战,98.00
精通数据科学 从线性回归到深度学习,82.90
Python文本分析,65.20
动手学深度学习 李沐 人工智能机器学习入门书籍教程花书西瓜书周志华推荐 Python神经,59.50
Python机器学习(原书第2版),70.30
编程的乐趣 用Python解算法谜题,49.40
PYTHON基础教程(第三版),74.20
3本 深度学习+机器学习 周志华+Python神经网络编程 人工智能书籍,215.80
Python地理数据处理,66.20
聊天机器人：入门、进阶与实战,65.20
Python编程无师自通 专业程序员的养成,49.40
算法图解 像小说一样有趣的算法入门书 基于Python语言 算法基础书籍 计算机算法编程教材,33.90
Python 3网络爬虫开发实战 Scrapy数据分析处理手册 数据抓取指南python程序设计正版,68.40
Python经典实例,113.60
用Python写网络爬虫 第2版,41.00
Python Linux系统管理与自动化运维,73.40
人人都懂设计模式：从生活中领悟设计模式（Python实现）,78.20
零起点Python足彩大数据与机器学习实盘分析,76.90
数据结构与算法：Python语言实现,76.30
Python3网络爬虫开发实战 pyspider Scrapy框架设计 分布式视频爬虫录音爬虫编写,66.00
PyTorch深度学习 python深度学习入门 深度学习框架搭建PyTorch,35.80
OpenCV 3计算机视觉：Python语言实现（原书第2版）,40.40
OpenCV+TensorFlow深度学习与计算机视觉实战 Python网络爬虫实战深度学习实践,172.00
Python机器学习（原书第2版）,79.00
Python从小白到大牛,67.60
Python强化学习实战：应用OpenAI Gym和TensorFlow精通强化学习和深度强化学习,53.19
Selenium自动化测试之道——基于Python和Java语言 计算机 软件开发,45.80
Python科学计算(第2版)（附光盘）,100.30
Python编程-从入门到实践 从基本概念到完整项目开发 机器学习 数据处理 编程语言程序设计,58.80
Python Cookbook(第3版)中文版 人民邮电出版社 （美）,96.00
Python深度学习面向自然语言处理的深度学习 神经网络OpenCV+TensorFlow 机器学习,440.00
Python游戏编程快速上手 第4版,57.80
【套装3本】Python3 网络爬虫开发实战+用Python写网络爬虫 第2版+精通Python爬虫,154.00
Python自动化测试实战,69.10
Python编程语言设计全套10册：深度学习+快速入门+自然语言处理+算法教程+基础教程+网络开发,729.00
Flask Web开发 基于Python的Web应用开发实战 第2版,56.40
正版Python自然语言处理 python编程语言程序设计基础教程书籍 自然语言处理分析实用入门指南,63.20
Python深度学习实战 基于TensorFlow和Keras的聊天机器人以及,53.19
深度学习：基于Keras的Python实践,58.40
Python从入门到实践 上下册 Python编程入门指南 零基础自学pytho基础到精通书籍,56.00
Python函数式编程 第2版,66.20
Python编程 从入门到实践,70.30
PyTorch深度学习    python深度学习入门 深度学习框架搭建PyTorch基础入门,39.00
Python学习手册 原书第5版(2册) +利用Python进行数据分析(pyt(原书第2版),230.40
Python自动化运维：技术与最佳实践,56.90
Python核心编程（第2版）,74.50
Python强化学习实战 应用OpenAI Gym和TensorFlow精通强化,38.70
Python Django Web典型模块开发实战,81.70
python编程5册：自然语言处理+高性能编程+数据分析实战+网络爬虫开发实战 图书计算机网络语言书,349.00
Python 3 基础教程,32.00
Python从入门到项目实践 全彩版 明日科技 自学Python软件开发从入门到精通 网格爬虫,53.80
Python程序设计基础（第2版）（计算机系列教材）,38.10
"【二手9成新】Python程序设计 陈春晖, 翁恺, 季江民编著 浙江大学出版社",60.00
大话Python机器学习,85.30
Python金融大数据挖掘与分析+网络爬虫+数据挖掘与机器学习实战+量化交易实战+量化交易之路,310.00
从零开始学Python数据分析（视频教学版）,56.90
Python机器学习及实践：从零开始通往Kaggle竞赛之路,41.70
Python自动化运维快速入门,50.20
PYTHON趣味编程:从入门到人工智能,43.60
Python程序设计（原书第2版）,105.60
Python科学计算（原书第2版）,73.40
Python数据科学与机器学习 从入门到实践,57.80
人工智能基础教程（Python篇青少版）,42.30
Python高效开发实战：Django、Tornado、Flask、Twisted,88.10
Python物理学高效计算,82.90
Python金融大数据挖掘+网络爬虫从入门到实践+数据挖掘与机器学习实战+Python机器学习算法,233.00
量化投资：以Python为工具,98.00
Python语言程序设计基础 第2版   教育部大学计算机课程改革项目规划教材 嵩天著 高等教育,36.90
Python游戏编程入门+C++游戏编程入门+游戏编程入门 全3册 游戏编程入门书籍,112.00
Python编程从0到1（视频教学版）,65.20
"零基础学Python(全 版) 明日科技（MingRi Soft）,明日科技 吉林大学出版社",79.80
Python机器学习实践：测试驱动的开发方法,40.00
乐学Python编程-做个游戏很简单/青少年STEAM活动核心系列丛书,59.30
Python和NLTK自然语言处理,115.60
深度学习：基于案例理解深度神经网络,73.40
Python从入门到实践 上下册 Python编程入门指南 零基础自学pytho基础到精通书籍,56.00
Effective Python：编写高质量Python代码的59个有效方法,48.70
Python编程 从入门到实践,59.70
Python数据分析,49.40
深度学习之PyTorch实战计算机视觉,78.20
Python参考手册 第4版 修订版,74.50
Keras深度学习实战,49.40
Python人脸识别 从入门到工程实践,38.70
疯狂Python讲义 李刚编著 python从入门到精通  python核心技术网络爬虫书籍,79.80
啊哈编程星球：一本书入门Python和C++,88.10
机器学习入门之道,46.50
Python高性能编程,66.20
实用卷积神经网络：运用Python实现高级深度学习模型,56.90
Python数据分析与应用 NumPy数值计算基础教程书籍 Matplotlib数据可视,39.20
Python开发实践教程/高等职业教育“十三五”规划教材,18.70
OpenCV+TensorFlow深度学习与计算机视觉实战 Python网络爬虫实战深度学习实践,172.00
Python 3学习笔记（上卷）,88.10
Python人工智能项目实战,69.50
Python核心编程 第3版 英文版,82.90
Python Qt GUI快速编程：PyQt编程指南,61.80
深度学习原理与实践,74.50
Python深度学习,49.40
树莓派+传感器：创建智能交互项目的实用方法、工具及最佳实践,40.40
Python和Pygame游戏开发指南,49.40
Python高级数据分析：机器学习、深度学习和NLP实例,48.70
Python语言程序设计,38.60
跟老齐学Python：轻松入门,58.40
Python零基础入门学习-水木书荟,42.10
Python在机器学习中的应用,75.80
谁说菜鸟不会数据分析（Python篇）,68.30
PyTorch深度学习,43.40
Python学习黄金组合套装（京东套装共3册）,224.20
强化学习：原理与Python实现,73.40
Python数据分析基础,56.40
Python编程无师自通 专业程序员的养成,49.40
零基础学Python（全彩版）,62.20
Python从入门到项目实践（全彩版）,77.80
Python编程快速上手 让繁琐工作自动化,54.50
利用Python进行数据分析（原书第2版）,83.30
Python学习手册（套装上下册）（原书第5版）,173.00
Python基础教程（第3版）,78.20
Python项目开发案例集锦（全彩版）,99.80
机器学习实战（python基础教程指南）,49.70
Python数据可视化编程实战,41.00
Python趣味编程入门,41.00
Python基础教程 第3版 图灵程序设计丛书 编程新手入门 软件工具 python,61.70
Python编程快速上手 Python编程从入门到实践,46.00
面向设计师的编程设计知识系统PADKS Grasshopper Python NetLogo 编程景,96.00
Python网络编程（第3版）,64.50
Python自动化开发实战,58.70
Python编程入门 全3册 Python编程从入门到实践 零基础入门学习 基础教程,189.00
Python数据挖掘方法及应用,44.10
Python数据分析从入门到精通,68.30
流畅的Python[巴西]卢西亚诺·拉马略（Luciano Ramalho）,100.00
Python爬虫开发 从入门到实战（微课版）,40.70
Python零基础快乐学习之旅（K12实战训练）,50.20
机器学习：Python实践,46.90
Python程序设计（第2版）/高等院校信息技术规划教材,42.90
Web接口开发与自动化测试――基于Python语言,58.40
面向自然语言处理的深度学习 用Python创建神经网络+自然语言处理Python进阶 计算机编程开发,210.00
Python游戏编程入门,41.00
Python数据分析入门――从数据获取到可视化,58.40
Python程序设计 第3版,57.80
机器学习线性代数基础 Python语言描述,38.00
Python自然语言处理,66.30
零基础学Python从入门到精通 python编程自学Python基础入门项目实践 赠视频课程 R,46.80
Django企业开发实战 高效Python Web框架指南,73.70
Python数据科学手册,86.10
深入浅出Python机器学习,58.70
你也能看得懂的Python算法书,58.40
TensorFlow：实战Google深度学习框架（第2版）,88.10
虫术——Python绝技,98.00
Python核心编程（第3版）,78.20
疯狂Python讲义,116.80
对比Excel，轻松学习Python数据分析,56.10
Python数据分析与大数据处理从入门到精通,69.00
Python编程（第4版 套装上下册）,99.00
Python从小白到大牛,70.30
笨办法学Python 3,46.60
Python编程锦囊（全彩版）,62.20
流畅的Python,109.80
Python全栈开发三剑客 （京东套装共3册）,239.80
面向自然语言处理的深度学习 用Python创建神经网络+自然语言处理Python进阶 机器学习深度,320.00
Python量化交易,98.00
Python接口自动化测试,58.40
小天才学Python,30.60
精通Python爬虫框架Scrapy,49.40
Python程序员面试宝典 剑指offer,85.30
我的Python世界 玩《Minecraft我的世界》学Python编程,57.80
零基础学编程：树莓派和Python,48.50
Python与神经网络实战,78.20
Python网络编程（原书第2版）,89.90
